"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
simple,Yes,64,2,10000000,1.000000e+07,2.238595,1.070789,0.044182,3.670325
simple,Yes,128,2,10000000,1.000000e+07,1.855927,1.567530,0.626326,6.240015
hyper,Yes,1,2,10000000,1.000000e+07,12.065147,0.090361,11.926869,12.196621
hyper,Yes,2,2,10000000,1.000000e+07,13.171515,0.114459,12.955298,13.288518
hyper,Yes,4,2,10000000,1.000000e+07,5.503440,0.034087,5.468647,5.591032
hyper,Yes,8,2,10000000,1.000000e+07,3.765768,0.024451,3.718477,3.810674
hyper,Yes,16,2,10000000,1.000000e+07,2.440894,0.055573,2.284787,2.495513
hyper,Yes,32,2,10000000,1.000000e+07,1.509142,0.041950,1.400099,1.561194
hyper,Yes,64,2,10000000,1.000000e+07,1.005777,0.027886,0.961094,1.057437
hyper,Yes,128,2,10000000,1.000000e+07,1.713811,0.229804,1.405218,2.225358
psrs,Yes,1,2,10000000,1.000000e+07,12.070597,0.091392,11.886900,12.196746
psrs,Yes,2,2,10000000,1.000000e+07,13.005807,0.100705,12.832266,13.153375
psrs,Yes,3,2,10000000,1.000000e+07,4.310052,0.041482,4.230621,4.350842
psrs,Yes,4,2,10000000,1.000000e+07,3.236194,0.073753,3.050316,3.361683
psrs,Yes,5,2,10000000,1.000000e+07,2.542219,0.025736,2.488183,2.591127
psrs,Yes,6,2,10000000,1.000000e+07,2.182634,0.038882,2.080640,2.225450
psrs,Yes,7,2,10000000,1.000000e+07,1.865044,0.046913,1.738015,1.912810
psrs,Yes,8,2,10000000,1.000000e+07,1.659007,0.024689,1.608066,1.694755
psrs,Yes,9,2,10000000,1.000000e+07,1.456730,0.018718,1.409306,1.478727
psrs,Yes,10,2,10000000,1.000000e+07,1.363426,0.016453,1.340637,1.396551
psrs,Yes,11,2,10000000,1.000000e+07,1.216292,0.018243,1.177424,1.244937
psrs,Yes,12,2,10000000,1.000000e+07,1.150403,0.026869,1.103409,1.216474
psrs,Yes,13,2,10000000,1.000000e+07,1.026693,0.012905,1.002275,1.050033
psrs,Yes,14,2,10000000,1.000000e+07,0.982565,0.019879,0.939034,1.011014
psrs,Yes,15,2,10000000,1.000000e+07,0.900775,0.014810,0.869260,0.929163
psrs,Yes,16,2,10000000,1.000000e+07,0.870854,0.014238,0.839354,0.888035
psrs,Yes,17,2,10000000,1.000000e+07,0.804696,0.015101,0.764248,0.821848
psrs,Yes,18,2,10000000,1.000000e+07,0.774812,0.013023,0.739327,0.788525
psrs,Yes,19,2,10000000,1.000000e+07,0.735410,0.010385,0.717551,0.753125
psrs,Yes,20,2,10000000,1.000000e+07,0.701217,0.014118,0.674958,0.718497
psrs,Yes,21,2,10000000,1.000000e+07,0.662760,0.014773,0.624679,0.678090
psrs,Yes,22,2,10000000,1.000000e+07,0.647375,0.015160,0.606014,0.661073
psrs,Yes,23,2,10000000,1.000000e+07,0.607401,0.014238,0.579325,0.624194
psrs,Yes,24,2,10000000,1.000000e+07,0.582117,0.008193,0.568471,0.596387
psrs,Yes,25,2,10000000,1.000000e+07,0.563468,0.012105,0.534619,0.580193
psrs,Yes,26,2,10000000,1.000000e+07,0.542423,0.015290,0.504578,0.557113
psrs,Yes,27,2,10000000,1.000000e+07,0.520798,0.012327,0.486969,0.532786
psrs,Yes,28,2,10000000,1.000000e+07,0.512614,0.016142,0.478924,0.539453
psrs,Yes,29,2,10000000,1.000000e+07,0.491728,0.011262,0.458967,0.499924
psrs,Yes,30,2,10000000,1.000000e+07,0.479609,0.016610,0.432067,0.496128
psrs,Yes,31,2,10000000,1.000000e+07,0.448443,0.009210,0.431055,0.461181
psrs,Yes,32,2,10000000,1.000000e+07,0.441343,0.009739,0.417061,0.454522
psrs,Yes,33,2,10000000,1.000000e+07,0.426858,0.001935,0.423326,0.430473
psrs,Yes,34,2,10000000,1.000000e+07,0.423660,0.007068,0.411197,0.432971
psrs,Yes,35,2,10000000,1.000000e+07,0.405109,0.013584,0.366918,0.416493
psrs,Yes,36,2,10000000,1.000000e+07,0.409930,0.012345,0.378104,0.428712
psrs,Yes,37,2,10000000,1.000000e+07,0.384474,0.009870,0.356441,0.391767
psrs,Yes,38,2,10000000,1.000000e+07,0.363694,0.005011,0.356025,0.370550
psrs,Yes,39,2,10000000,1.000000e+07,0.345778,0.007049,0.334386,0.356948
psrs,Yes,40,2,10000000,1.000000e+07,0.343719,0.004313,0.332080,0.348160
psrs,Yes,41,2,10000000,1.000000e+07,0.327671,0.003857,0.321524,0.333413
psrs,Yes,42,2,10000000,1.000000e+07,0.327543,0.003750,0.318822,0.331784
psrs,Yes,43,2,10000000,1.000000e+07,0.317567,0.007561,0.305777,0.333497
psrs,Yes,44,2,10000000,1.000000e+07,0.344349,0.075779,0.306742,0.571058
psrs,Yes,45,2,10000000,1.000000e+07,0.304958,0.003538,0.299475,0.311331
psrs,Yes,46,2,10000000,1.000000e+07,0.336437,0.078442,0.303423,0.571375
psrs,Yes,47,2,10000000,1.000000e+07,0.292529,0.003833,0.288040,0.299718
psrs,Yes,48,2,10000000,1.000000e+07,0.347951,0.104741,0.289534,0.562339
psrs,Yes,49,2,10000000,1.000000e+07,0.289240,0.002945,0.285635,0.295478
psrs,Yes,50,2,10000000,1.000000e+07,0.331349,0.081943,0.274073,0.503761
psrs,Yes,51,2,10000000,1.000000e+07,0.281684,0.003362,0.274891,0.287389
psrs,Yes,52,2,10000000,1.000000e+07,0.302828,0.069236,0.275040,0.510403
psrs,Yes,53,2,10000000,1.000000e+07,0.276025,0.010701,0.267337,0.306175
psrs,Yes,54,2,10000000,1.000000e+07,0.267595,0.004113,0.262691,0.278487
psrs,Yes,55,2,10000000,1.000000e+07,0.265192,0.002363,0.261887,0.270202
psrs,Yes,56,2,10000000,1.000000e+07,0.289904,0.049623,0.261804,0.427513
psrs,Yes,57,2,10000000,1.000000e+07,0.273972,0.061407,0.248952,0.457775
psrs,Yes,58,2,10000000,1.000000e+07,0.281297,0.064644,0.252133,0.474078
psrs,Yes,59,2,10000000,1.000000e+07,0.329301,0.097759,0.242064,0.463880
psrs,Yes,60,2,10000000,1.000000e+07,0.340883,0.129240,0.244176,0.675646
psrs,Yes,61,2,10000000,1.000000e+07,0.348762,0.105863,0.238813,0.481704
psrs,Yes,62,2,10000000,1.000000e+07,0.326053,0.088367,0.233119,0.449369
psrs,Yes,63,2,10000000,1.000000e+07,0.297617,0.096635,0.232589,0.501584
psrs,Yes,64,2,10000000,1.000000e+07,0.251490,0.041160,0.232578,0.374353
psrs,Yes,65,2,10000000,1.000000e+07,0.312177,0.041371,0.230328,0.361047
psrs,Yes,66,2,10000000,1.000000e+07,0.309701,0.020541,0.273793,0.340515
psrs,Yes,67,2,10000000,1.000000e+07,0.314976,0.018615,0.279314,0.349774
psrs,Yes,68,2,10000000,1.000000e+07,0.307980,0.031034,0.265011,0.369460
psrs,Yes,69,2,10000000,1.000000e+07,0.315619,0.033715,0.275751,0.380302
psrs,Yes,70,2,10000000,1.000000e+07,0.323546,0.032483,0.267565,0.381691
psrs,Yes,71,2,10000000,1.000000e+07,0.318153,0.034089,0.253161,0.379659
psrs,Yes,72,2,10000000,1.000000e+07,0.325761,0.045947,0.262805,0.434498
psrs,Yes,73,2,10000000,1.000000e+07,0.313862,0.047190,0.217152,0.409162
psrs,Yes,74,2,10000000,1.000000e+07,0.315698,0.039475,0.267002,0.400508
psrs,Yes,75,2,10000000,1.000000e+07,0.331445,0.050853,0.262740,0.417898
psrs,Yes,76,2,10000000,1.000000e+07,0.347424,0.049331,0.270783,0.427602
psrs,Yes,77,2,10000000,1.000000e+07,0.331567,0.037717,0.279135,0.399948
psrs,Yes,78,2,10000000,1.000000e+07,0.335522,0.037235,0.273404,0.403615
psrs,Yes,79,2,10000000,1.000000e+07,0.331771,0.044610,0.268235,0.420966
psrs,Yes,80,2,10000000,1.000000e+07,0.338080,0.037343,0.271246,0.400494
psrs,Yes,81,2,10000000,1.000000e+07,0.335947,0.035102,0.288183,0.405028
psrs,Yes,82,2,10000000,1.000000e+07,0.327295,0.066400,0.205459,0.434868
psrs,Yes,83,2,10000000,1.000000e+07,0.330494,0.032311,0.277178,0.393035
psrs,Yes,84,2,10000000,1.000000e+07,0.342124,0.038146,0.292260,0.407536
psrs,Yes,85,2,10000000,1.000000e+07,0.352082,0.054474,0.263875,0.469946
psrs,Yes,86,2,10000000,1.000000e+07,0.348238,0.058442,0.265616,0.443818
psrs,Yes,87,2,10000000,1.000000e+07,0.343311,0.039306,0.283100,0.413802
psrs,Yes,88,2,10000000,1.000000e+07,0.342280,0.059663,0.248243,0.445617
psrs,Yes,89,2,10000000,1.000000e+07,0.336794,0.045481,0.266390,0.412177
